NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.038018,0.0001,0.0,8.22974
1000.0,107.40168,0.0001,0.33,1.85465
2000.0,202.789685,0.0001,0.43,1.64498
3000.0,312.822874,0.0001,0.45,1.55759
4000.0,428.508748,0.0001,0.48,1.46665
5000.0,536.002702,0.0001,0.52,1.43388
6000.0,634.639215,1e-05,0.53,1.39318
7000.0,735.365593,1e-05,0.54,1.37325
8000.0,835.570063,1e-05,0.56,1.35012
9000.0,938.905878,1e-05,0.55,1.33551
10000.0,1044.82656,1e-05,0.56,1.31965
11000.0,1150.644125,1e-06,0.56,1.31757
12000.0,1260.675753,1e-06,0.56,1.31437
13000.0,1368.879995,1e-06,0.56,1.31188
14000.0,1480.544495,1e-06,0.56,1.30978
15000.0,1589.698403,1e-06,0.56,1.30761
16000.0,1700.224599,1e-07,0.56,1.30727
17000.0,1814.188291,1e-07,0.56,1.30712
18000.0,1915.868369,1e-07,0.56,1.3069
19000.0,2016.31445,1e-07,0.56,1.30667
20000.0,2122.680826,1e-07,0.56,1.30645
21000.0,2230.369151,1e-08,0.56,1.3064
22000.0,2334.324669,1e-08,0.56,1.30639
23000.0,2436.227662,1e-08,0.56,1.30638
24000.0,2529.371552,1e-08,0.56,1.30637
