NumIters,Seconds,LearningRate,accuracy,loss
0.0,13.454696,0.0001,0.03,8.92442
1000.0,448.418523,0.0001,0.39,1.62497
2000.0,861.355764,0.0001,0.51,1.3968
3000.0,1272.234822,0.0001,0.58,1.22367
4000.0,1705.145472,0.0001,0.68,1.02306
5000.0,2135.795686,0.0001,0.77,0.835735
6000.0,2554.678662,1e-05,0.78,0.792581
7000.0,2971.210147,1e-05,0.79,0.75621
8000.0,3385.725234,1e-05,0.81,0.726811
9000.0,3804.929315,1e-05,0.82,0.7016
10000.0,4214.388636,1e-05,0.84,0.679235
11000.0,4633.740293,1e-06,0.85,0.67195
12000.0,5043.268438,1e-06,0.85,0.670185
13000.0,5461.033882,1e-06,0.86,0.667976
14000.0,5866.742841,1e-06,0.86,0.665588
15000.0,6276.954188,1e-06,0.86,0.663086
16000.0,6651.681658,1e-07,0.86,0.663108
17000.0,7041.852084,1e-07,0.86,0.663239
18000.0,7418.473618,1e-07,0.86,0.66306
19000.0,7794.983567,1e-07,0.86,0.662832
20000.0,8169.657953,1e-07,0.86,0.662591
21000.0,8546.217159,1e-08,0.86,0.662451
22000.0,8917.665989,1e-08,0.86,0.662457
23000.0,9292.690667,1e-08,0.86,0.662462
24000.0,9688.049663,1e-08,0.86,0.662466
