NumIters,Seconds,LearningRate,accuracy,loss
0.0,5.209436,0.0001,0.0,7.28683
1000.0,127.067029,0.0001,0.26,1.84291
2000.0,247.499933,0.0001,0.41,1.66444
3000.0,366.806079,0.0001,0.5,1.50741
4000.0,486.113516,0.0001,0.56,1.39578
5000.0,605.825718,0.0001,0.55,1.26236
6000.0,727.180348,1e-05,0.58,1.22045
7000.0,848.242882,1e-05,0.6,1.19517
8000.0,967.153352,1e-05,0.61,1.17415
9000.0,1086.544714,1e-05,0.61,1.15514
10000.0,1209.210157,1e-05,0.63,1.13619
11000.0,1330.195119,1e-06,0.65,1.13065
12000.0,1452.804312,1e-06,0.66,1.1281
13000.0,1581.893388,1e-06,0.66,1.12618
14000.0,1704.611948,1e-06,0.66,1.12436
15000.0,1826.855058,1e-06,0.66,1.12251
16000.0,1947.987385,1e-07,0.66,1.12205
17000.0,2074.127313,1e-07,0.66,1.12178
18000.0,2199.633689,1e-07,0.66,1.12158
19000.0,2320.555403,1e-07,0.66,1.1214
20000.0,2441.040935,1e-07,0.66,1.12122
21000.0,2561.337067,1e-08,0.66,1.12122
22000.0,2682.439664,1e-08,0.66,1.12121
23000.0,2802.984144,1e-08,0.66,1.12121
24000.0,2923.046047,1e-08,0.66,1.1212
