NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.389322,0.0001,0.0,8.11989
1000.0,107.490059,0.0001,0.29,1.86121
2000.0,210.124325,0.0001,0.36,1.6752
3000.0,321.277691,0.0001,0.42,1.57908
4000.0,422.232604,0.0001,0.47,1.48544
5000.0,522.619102,0.0001,0.47,1.39913
6000.0,624.781707,1e-05,0.52,1.36283
7000.0,725.606651,1e-05,0.53,1.34284
8000.0,828.653244,1e-05,0.55,1.32956
9000.0,930.198291,1e-05,0.54,1.31759
10000.0,1030.771826,1e-05,0.54,1.30724
11000.0,1133.715757,1e-06,0.55,1.30459
12000.0,1238.61985,1e-06,0.55,1.30262
13000.0,1347.491695,1e-06,0.55,1.30109
14000.0,1456.57692,1e-06,0.55,1.29968
15000.0,1565.138164,1e-06,0.55,1.29838
16000.0,1668.67577,1e-07,0.55,1.29869
17000.0,1772.241759,1e-07,0.55,1.29876
18000.0,1874.870969,1e-07,0.55,1.2987
19000.0,1978.269038,1e-07,0.55,1.2986
20000.0,2081.682098,1e-07,0.55,1.29848
21000.0,2185.436274,1e-08,0.55,1.29846
22000.0,2289.683595,1e-08,0.55,1.29846
23000.0,2393.363667,1e-08,0.55,1.29846
24000.0,2500.980082,1e-08,0.55,1.29847
