NumIters,Seconds,LearningRate,accuracy,loss
0.0,4.047894,0.0001,0.0,84.6773
1000.0,109.82619,0.0001,0.32,1.79192
2000.0,211.427068,0.0001,0.36,1.68603
3000.0,303.372563,0.0001,0.47,1.53491
4000.0,389.823691,0.0001,0.51,1.43224
5000.0,476.074299,0.0001,0.56,1.3537
6000.0,569.664016,1e-05,0.56,1.29213
7000.0,660.270839,1e-05,0.57,1.27292
8000.0,747.051972,1e-05,0.57,1.25173
9000.0,834.016829,1e-05,0.56,1.23733
10000.0,921.034484,1e-05,0.57,1.22443
11000.0,1016.107241,1e-06,0.59,1.20701
12000.0,1122.458602,1e-06,0.6,1.20366
13000.0,1218.001745,1e-06,0.6,1.20155
14000.0,1312.525335,1e-06,0.6,1.19973
15000.0,1410.313572,1e-06,0.6,1.19832
16000.0,1504.926008,1e-07,0.6,1.20034
17000.0,1609.883408,1e-07,0.6,1.20047
18000.0,1698.754917,1e-07,0.6,1.20028
19000.0,1787.126804,1e-07,0.6,1.20005
20000.0,1879.667629,1e-07,0.6,1.19982
21000.0,1971.084513,1e-08,0.6,1.1998
22000.0,2063.280756,1e-08,0.6,1.19984
23000.0,2154.705998,1e-08,0.6,1.19987
24000.0,2246.716015,1e-08,0.6,1.1999
